nation ,month,date,cases
Northern Ireland,Nov,30-11-2020,290
Northern Ireland,Nov,29-11-2020,351
Northern Ireland,Nov,28-11-2020,315
Northern Ireland,Nov,27-11-2020,391
Northern Ireland,Nov,26-11-2020,442
Northern Ireland,Nov,25-11-2020,533
Northern Ireland,Nov,24-11-2020,79
Northern Ireland,Nov,23-11-2020,280
Northern Ireland,Nov,22-11-2020,342
Northern Ireland,Nov,21-11-2020,357
Northern Ireland,Nov,20-11-2020,369
Northern Ireland,Nov,19-11-2020,487
Northern Ireland,Nov,18-11-2020,518
Northern Ireland,Nov,17-11-2020,549
Northern Ireland,Nov,16-11-2020,331
Northern Ireland,Nov,15-11-2020,472
Northern Ireland,Nov,14-11-2020,511
Northern Ireland,Nov,13-11-2020,607
Northern Ireland,Nov,12-11-2020,548
Northern Ireland,Nov,11-11-2020,791
Northern Ireland,Nov,10-11-2020,514
Northern Ireland,Nov,09-11-2020,471
Northern Ireland,Nov,08-11-2020,420
Northern Ireland,Nov,07-11-2020,528
Northern Ireland,Nov,06-11-2020,595
Northern Ireland,Nov,05-11-2020,516
Northern Ireland,Nov,04-11-2020,679
Northern Ireland,Nov,03-11-2020,570
Northern Ireland,Nov,02-11-2020,493
Northern Ireland,Nov,01-11-2020,685
Northern Ireland,Oct,31-10-2020,649
Northern Ireland,Oct,30-10-2020,566
Northern Ireland,Oct,29-10-2020,822
Northern Ireland,Oct,28-10-2020,840
Northern Ireland,Oct,27-10-2020,722
Northern Ireland,Oct,26-10-2020,727
Northern Ireland,Oct,25-10-2020,896
Northern Ireland,Oct,24-10-2020,923
Northern Ireland,Oct,23-10-2020,1252
Northern Ireland,Oct,22-10-2020,1042
Northern Ireland,Oct,21-10-2020,1039
Northern Ireland,Oct,20-10-2020,913
Northern Ireland,Oct,19-10-2020,820
Northern Ireland,Oct,18-10-2020,1012
Northern Ireland,Oct,17-10-2020,1031
Northern Ireland,Oct,16-10-2020,1299
Northern Ireland,Oct,15-10-2020,763
Northern Ireland,Oct,14-10-2020,1217
Northern Ireland,Oct,13-10-2020,863
Northern Ireland,Oct,12-10-2020,877
Northern Ireland,Oct,11-10-2020,1066
Northern Ireland,Oct,10-10-2020,902
Northern Ireland,Oct,09-10-2020,1080
Northern Ireland,Oct,08-10-2020,923
