nation ,month,date,cases
Scotland,Nov,30-11-2020,369
Scotland,Nov,29-11-2020,746
Scotland,Nov,28-11-2020,788
Scotland,Nov,27-11-2020,969
Scotland,Nov,26-11-2020,1225
Scotland,Nov,25-11-2020,880
Scotland,Nov,24-11-2020,771
Scotland,Nov,23-11-2020,949
Scotland,Nov,22-11-2020,844
Scotland,Nov,21-11-2020,887
Scotland,Nov,20-11-2020,1018
Scotland,Nov,19-11-2020,1089
Scotland,Nov,18-11-2020,1264
Scotland,Nov,17-11-2020,1248
Scotland,Nov,16-11-2020,717
Scotland,Nov,15-11-2020,1159
Scotland,Nov,14-11-2020,1118
Scotland,Nov,13-11-2020,1357
Scotland,Nov,12-11-2020,1212
Scotland,Nov,11-11-2020,1261
Scotland,Nov,10-11-2020,832
Scotland,Nov,09-11-2020,912
Scotland,Nov,08-11-2020,1115
Scotland,Nov,07-11-2020,1596
Scotland,Nov,06-11-2020,1072
Scotland,Nov,05-11-2020,1216
Scotland,Nov,04-11-2020,1433
Scotland,Nov,03-11-2020,999
Scotland,Nov,02-11-2020,951
Scotland,Nov,01-11-2020,1148
Scotland,Oct,31-10-2020,1101
Scotland,Oct,30-10-2020,1281
Scotland,Oct,29-10-2020,1128
Scotland,Oct,28-10-2020,1202
Scotland,Oct,27-10-2020,1327
Scotland,Oct,26-10-2020,1122
Scotland,Oct,25-10-2020,1303
Scotland,Oct,24-10-2020,1433
Scotland,Oct,23-10-2020,1401
Scotland,Oct,22-10-2020,1712
Scotland,Oct,21-10-2020,1739
Scotland,Oct,20-10-2020,1456
Scotland,Oct,19-10-2020,993
Scotland,Oct,18-10-2020,316
Scotland,Oct,17-10-2020,1167
Scotland,Oct,16-10-2020,1196
Scotland,Oct,15-10-2020,1351
Scotland,Oct,14-10-2020,1429
Scotland,Oct,13-10-2020,1297
Scotland,Oct,12-10-2020,961
Scotland,Oct,11-10-2020,956
Scotland,Oct,10-10-2020,1009
Scotland,Oct,09-10-2020,1246
Scotland,Oct,08-10-2020,1027
Scotland,Oct,07-10-2020,1054
Scotland,Oct,06-10-2020,800
Scotland,Oct,05-10-2020,697
Scotland,Oct,04-10-2020,758
Scotland,Oct,03-10-2020,764
Scotland,Oct,02-10-2020,775
Scotland,Oct,01-10-2020,668
