nation ,month,date,cases
Wales,Nov,29-11-2020,1004
Wales,Nov,28-11-2020,1445
Wales,Nov,27-11-2020,1105
Wales,Nov,26-11-2020,1251
Wales,Nov,25-11-2020,907
Wales,Nov,24-11-2020,595
Wales,Nov,23-11-2020,892
Wales,Nov,22-11-2020,808
Wales,Nov,21-11-2020,1016
Wales,Nov,20-11-2020,1020
Wales,Nov,19-11-2020,1048
Wales,Nov,18-11-2020,638
Wales,Nov,17-11-2020,705
Wales,Nov,16-11-2020,892
Wales,Nov,15-11-2020,1333
Wales,Nov,14-11-2020,933
Wales,Nov,13-11-2020,797
Wales,Nov,12-11-2020,867
Wales,Nov,11-11-2020,928
Wales,Nov,10-11-2020,444
Wales,Nov,09-11-2020,931
Wales,Nov,08-11-2020,744
Wales,Nov,07-11-2020,958
Wales,Nov,06-11-2020,1352
Wales,Nov,05-11-2020,1272
Wales,Nov,04-11-2020,1202
Wales,Nov,03-11-2020,1119
Wales,Nov,02-11-2020,1646
Wales,Nov,01-11-2020,819
Wales,Oct,31-10-2020,1301
Wales,Oct,30-10-2020,1737
Wales,Oct,29-10-2020,1375
Wales,Oct,28-10-2020,1414
Wales,Oct,27-10-2020,1207
Wales,Oct,26-10-2020,1158
Wales,Oct,25-10-2020,1104
Wales,Oct,24-10-2020,1324
Wales,Oct,23-10-2020,761
Wales,Oct,22-10-2020,1134
Wales,Oct,21-10-2020,962
Wales,Oct,20-10-2020,1148
Wales,Oct,19-10-2020,626
Wales,Oct,18-10-2020,950
Wales,Oct,17-10-2020,674
Wales,Oct,16-10-2020,979
Wales,Oct,15-10-2020,727
Wales,Oct,14-10-2020,946
Wales,Oct,13-10-2020,764
Wales,Oct,12-10-2020,487
Wales,Oct,11-10-2020,467
Wales,Oct,10-10-2020,627
Wales,Oct,09-10-2020,766
Wales,Oct,08-10-2020,638
Wales,Oct,07-10-2020,752
Wales,Oct,06-10-2020,425
Wales,Oct,05-10-2020,596
Wales,Oct,04-10-2020,432
Wales,Oct,03-10-2020,576
Wales,Oct,02-10-2020,462
Wales,Oct,01-10-2020,398
Wales,Sep,30-09-2020,388
Wales,Sep,29-09-2020,366
Wales,Sep,28-09-2020,286
Wales,Sep,27-09-2020,362
Wales,Sep,26-09-2020,370
Wales,Sep,25-09-2020,320
Wales,Sep,24-09-2020,348
Wales,Sep,23-09-2020,389
Wales,Sep,22-09-2020,281
Wales,Sep,21-09-2020,234
Wales,Sep,20-09-2020,199
Wales,Sep,19-09-2020,212
Wales,Sep,18-09-2020,185
Wales,Sep,17-09-2020,168
Wales,Sep,16-09-2020,199
Wales,Sep,15-09-2020,110
Wales,Sep,14-09-2020,183
Wales,Sep,13-09-2020,162
Wales,Sep,12-09-2020,164
Wales,Sep,11-09-2020,133
Wales,Sep,10-09-2020,102
Wales,Sep,09-09-2020,165
Wales,Sep,08-09-2020,150
